run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-131,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_pos,20,20,1.0,1,0.0556,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_neg,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-181,initial,102,102,0.99,1,0.02,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_pos,80,80,0.9487,1,0.0256,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_neg,102,102,1.0,2,0.01,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-22,initial,103,103,1.0,1,0.0099,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_pos,23,23,1.0,1,0.0476,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_neg,106,106,0.9904,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-172,initial,106,106,1.0,1,0.0096,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_pos,47,47,0.9778,1,0.0444,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_neg,110,110,0.9907,1,0.0185,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-144,initial,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_pos,103,103,0.8911,1,0.0297,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_neg,105,105,0.9806,2,0.0194,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-92,initial,98,98,0.9792,1,0.0208,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_pos,19,19,0.9412,1,0.1176,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_neg,97,97,1.0,2,0.0105,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-97,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_pos,25,25,1.0,1,0.0435,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_neg,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-187,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_pos,28,28,1.0,1,0.0385,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_neg,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-58,initial,100,100,1.0,1,0.0102,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-58,steered_pos,35,35,1.0,1,0.0303,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-58,steered_neg,111,111,1.0,1,0.0092,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-93,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-93,steered_pos,44,44,1.0,1,0.0238,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-93,steered_neg,109,109,0.972,1,0.0187,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-6,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-6,steered_pos,19,19,1.0,1,0.0588,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-6,steered_neg,109,109,1.0,1,0.0093,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-70,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-70,steered_pos,34,34,1.0,1,0.0312,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-70,steered_neg,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-106,initial,105,105,0.9806,1,0.0194,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-106,steered_pos,23,23,1.0,1,0.0476,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-106,steered_neg,106,106,1.0,1,0.0096,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-68,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-68,steered_pos,59,59,0.9123,1,0.0351,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-68,steered_neg,107,107,0.9905,1,0.019,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-153,initial,108,108,0.9906,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-153,steered_pos,33,33,0.9355,1,0.0645,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-153,steered_neg,110,110,0.9815,1,0.0185,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-168,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-168,steered_pos,26,26,0.9583,1,0.0833,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-168,steered_neg,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-179,initial,110,110,0.9815,1,0.0185,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-179,steered_pos,90,90,0.5,1,0.0682,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-179,steered_neg,103,103,1.0,1,0.0099,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-199,initial,104,104,1.0,1,0.0098,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-199,steered_pos,15,15,1.0,1,0.0769,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-199,steered_neg,106,106,0.9808,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-29,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-29,steered_pos,58,58,0.8036,1,0.0357,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-29,steered_neg,107,107,0.9905,1,0.019,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-46,initial,109,109,1.0,1,0.0093,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-46,steered_pos,29,29,0.963,1,0.0741,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-46,steered_neg,106,106,0.9808,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-9,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-9,steered_pos,32,32,0.9333,1,0.0667,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-9,steered_neg,109,109,1.0,2,0.0093,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-142,initial,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-142,steered_pos,23,23,1.0,1,0.0476,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-142,steered_neg,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-134,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-134,steered_pos,54,54,0.9615,1,0.0385,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-134,steered_neg,112,112,0.9909,1,0.0182,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-88,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-88,steered_pos,30,30,0.9643,1,0.0714,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-88,steered_neg,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-193,initial,111,111,0.9541,1,0.0183,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-193,steered_pos,38,38,0.9722,1,0.0556,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-193,steered_neg,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-110,initial,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-110,steered_pos,25,25,1.0,1,0.0435,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-110,steered_neg,108,108,0.9623,1,0.0283,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-26,initial,103,103,0.9802,1,0.0198,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-26,steered_pos,96,96,0.9681,1,0.0213,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-26,steered_neg,103,103,0.9703,2,0.0198,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-32,initial,108,108,0.9717,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-32,steered_pos,19,19,1.0,1,0.0588,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-32,steered_neg,111,111,0.9908,1,0.0183,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-117,initial,98,98,0.9583,1,0.0208,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-117,steered_pos,28,28,0.9231,1,0.0769,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-117,steered_neg,104,104,1.0,2,0.0098,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-112,initial,106,106,0.9712,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-112,steered_pos,29,29,1.0,1,0.037,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-112,steered_neg,112,112,1.0,1,0.0091,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-17,initial,85,85,0.988,1,0.0241,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-17,steered_pos,26,26,1.0,1,0.0417,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-17,steered_neg,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-39,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-39,steered_pos,82,82,0.5375,1,0.0375,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-39,steered_neg,107,107,1.0,2,0.0095,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-166,initial,105,105,0.9903,1,0.0194,1,nan,0,0,1,0,0,0,0
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-166,steered_pos,38,38,0.9444,1,0.0556,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-166,steered_neg,107,107,0.981,2,0.019,0,nan,0,0,0,0,0,0,1
20260903-021811_adaptive-add-linear-c30-qwen3-8b_qwen3-8b,log_103_comparison_200-13,initial,107,107,0.9905,1,0.019,1,nan,0,0,1,0,0,0,0
