run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-131,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_pos,95,95,0.957,1,0.0215,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_neg,101,101,0.9899,1,0.0202,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-181,initial,102,102,0.99,1,0.02,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_pos,102,102,0.99,1,0.02,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_neg,103,103,1.0,1,0.0099,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-22,initial,103,103,1.0,1,0.0099,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_pos,103,103,0.9604,1,0.0297,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_neg,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-172,initial,106,106,1.0,1,0.0096,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_pos,100,100,0.9694,1,0.0306,0,nan,0,0,0,0,0,0,1
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_neg,109,109,1.0,1,0.0093,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-144,initial,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_pos,99,99,0.8866,1,0.0206,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_neg,106,106,0.9808,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-92,initial,98,98,0.9792,1,0.0208,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_pos,97,97,0.9474,1,0.0316,0,nan,0,0,0,0,0,0,1
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_neg,106,106,0.9904,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-97,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_pos,96,96,0.9468,1,0.0213,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_neg,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-187,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_pos,100,100,0.9898,1,0.0204,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_neg,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-58,initial,100,100,1.0,1,0.0102,1,nan,0,0,1,0,0,0,0
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,log_103_comparison_200-58,steered_pos,102,102,0.99,1,0.02,1,nan,0,0,1,0,0,0,0
